"","PrimaryType","frequency"
"1","ARSON",3
"2","ASSAULT",22
"3","BATTERY",48
"4","BURGLARY",41
"5","CRIM SEXUAL ASSAULT",30
"6","CRIMINAL DAMAGE",17
"7","CRIMINAL TRESPASS",4
"8","DECEPTIVE PRACTICE",266
"9","HOMICIDE",9
"10","INTERFERENCE WITH PUBLIC OFFICER",1
"11","INTIMIDATION",1
"12","KIDNAPPING",2
"13","MOTOR VEHICLE THEFT",9
"14","NARCOTICS",733
"15","NON-CRIMINAL",1
"16","OFFENSE INVOLVING CHILDREN",31
"17","OTHER OFFENSE",56
"18","ROBBERY",22
"19","SEX OFFENSE",18
"20","STALKING",1
"21","THEFT",83
"22","WEAPONS VIOLATION",20
