"","PrimaryType","frequency"
"1","ARSON",1
"2","ASSAULT",5
"3","BATTERY",24
"4","BURGLARY",9
"5","CRIM SEXUAL ASSAULT",24
"6","CRIMINAL DAMAGE",11
"7","CRIMINAL TRESPASS",2
"8","DECEPTIVE PRACTICE",94
"9","HOMICIDE",3
"10","KIDNAPPING",1
"11","MOTOR VEHICLE THEFT",14
"12","NARCOTICS",14
"13","OBSCENITY",1
"14","OFFENSE INVOLVING CHILDREN",13
"15","OTHER OFFENSE",7
"16","PROSTITUTION",1
"17","PUBLIC PEACE VIOLATION",2
"18","ROBBERY",3
"19","SEX OFFENSE",10
"20","THEFT",25
"21","WEAPONS VIOLATION",3
